Det,No Det
-5000.0,-5000.0
-4900.0,-4900.0
-4800.0,-4800.0
-4700.0,-4700.0
-4600.0,-4600.0
-4500.0,-4500.0
-4400.0,-4400.0
-4300.0,-4300.0
-4200.0,-4200.0
-4100.0,-4100.0
-4000.0,-4000.0
-3900.0,-3900.0
-3800.0,-3800.0
-3700.0,-3700.0
-3600.0,-3600.0
-3500.0,-3500.0
-3400.0,-3400.0
-3300.0,-3300.0
-3200.0,-3200.0
-3100.0,-3100.0
-3000.0,-3000.0
-2900.0,-2900.0
-2800.0,-2800.0
-2700.0,-2700.0
-2600.0,-2600.0
-2500.0,-2500.0
-2400.0,-2400.0
-2300.0,-2300.0
-2200.0,-2200.0
-2100.0,-2100.0
-2000.0,-2000.0
-1900.0,-1900.0
-1800.0,-1800.0
-1700.0,-1700.0
-1600.0,-1600.0
-1500.0,-1500.0
-1400.0,-1400.0
-1300.0,-1300.0
-1200.0,-1200.0
-1100.0,-1100.0
-1000.0,-1000.0
-900.006,-900.006
-800.01,-800.011
-700.017,-700.018
-600.031,-600.031
-500.056,-500.057
-400.103,-400.103
-300.184,-300.184
-200.309,-200.31
-100.472,-100.473
-0.651343,-0.651842
-0.0005,99.1676
0.0005,198.988
99.82,298.817
199.64,398.667
299.469,498.545
399.32,598.447
499.197,698.366
599.099,798.297
699.019,898.236
798.95,998.18
898.889,1098.13
998.832,1198.08
1098.78,1298.03
1198.73,1397.98
1298.68,1497.93
1398.63,1597.88
1498.58,1697.84
1598.54,1797.79
1698.49,1897.75
1798.44,1997.7
1898.4,2097.65
1998.35,2197.61
2098.31,2297.56
2198.26,2397.52
2298.22,2497.47
2398.17,2597.43
2498.12,2697.38
2598.08,2797.34
2698.03,2897.29
2797.99,2997.25
2897.94,3097.2
2997.9,3197.15
3097.85,3297.11
3197.81,3397.06
3297.76,3497.02
3397.72,3596.97
3497.67,3696.93
3597.63,3796.88
3697.58,3896.84
3797.54,3996.79
3897.49,4096.75
3997.45,4196.7
4097.4,4296.66
4197.36,4396.61
4297.31,4496.57
4397.26,4596.52
4497.22,4696.48
4597.17,4796.43
4697.13,4896.39
4797.08,4996.34
4897.04,5096.3
4996.99,5196.25
5000.0,5296.21
5099.96,5396.16
5199.91,5496.12
5299.87,5596.07
5399.82,5696.03
5499.77,5795.98
5599.73,5895.94
5699.68,5995.89
5799.64,6095.85
5899.59,6195.8
5999.55,6295.76
6099.5,6395.71
6199.46,6495.67
6299.41,6595.62
6399.37,6695.58
6499.32,6795.53
6599.28,6895.49
6699.23,6995.44
6799.19,7095.4
6899.14,7195.35
6999.1,7295.3
7099.05,7395.26
7199.01,7495.21
7298.96,7595.17
7398.92,7695.12
7498.87,7795.08
7598.83,7895.03
7698.78,7994.99
7798.74,8094.94
7898.69,8194.9
7998.65,8294.85
8098.6,8394.81
8198.56,8494.76
8298.51,8594.72
8398.47,8694.67
8498.42,8794.63
8598.38,8894.58
8698.33,8994.54
8798.29,9094.49
8898.24,9194.45
8998.2,9294.4
9098.15,9394.36
9198.1,9494.31
9298.06,9594.27
9398.01,9694.22
9497.97,9794.18
9597.92,9894.13
9697.88,9994.09
9797.83,10094.0
9897.79,10194.0
9997.74,10294.0
10097.7,10300.7
10197.7,0.0
10297.6,0.0
10300.7,0.0
